WKT,fid,gid,streetname,note
"LINESTRING (652591.169693507 6863317.03645558,652594.555331588 6863338.36332357)","2547","2579",,
"LINESTRING (652580.026381067 6863287.55641324,652591.169693507 6863317.03645558)","2548","2580",Rue de l' Egoût du Pontceau,c
"LINESTRING (652591.169693507 6863317.03645558,652679.050035298 6863291.08243413)","2550","2582",Rue de l' Egoût du Pontceau,c
"LINESTRING (652322.535017102 6863319.2937082,652437.371228877 6863278.1708957)","2615","2646",Rue des Filles Dieu,c
"LINESTRING (652449.602664176 6863326.00862383,652437.371228877 6863278.1708957)","2617","2648",Rue Saint Denis,c
"LINESTRING (652437.371228877 6863278.1708957,652413.839049413 6863187.13046181)","2618","2649",Rue Saint Denis,c
"LINESTRING (652155.735332704 6862695.08021589,652193.41568387 6862684.95921492,652261.450250231 6862657.15302971)","2659","2690",Rue de la Chanvrerie,c
"LINESTRING (652155.735332704 6862695.08021589,652162.87830275 6862724.07050293)","2660","2691",Rue Mondelour,c
"LINESTRING (652159.646575322 6862858.09220279,652202.547904778 6862854.70619974)","2678","2709",Rue Mauconseil,c
"LINESTRING (652815.273549923 6862620.1805969,652758.80979183 6862550.47550635)","2724","2755",rue Saint Avoye,
"LINESTRING (652805.806090488 6862919.47833899,652823.900229258 6862912.06365998)","2744","2775",Cul de Sac du Puits de Rome,c
"LINESTRING (652273.020640353 6862694.45806333,652323.563183554 6862680.64509255)","2756","2787",Rue Saint Magloire,c
"LINESTRING (652948.223336515 6863266.71019828,652939.833632772 6863231.9010311)","3066","3098",C. du Pont aux Biches,c
"LINESTRING (653210.927352654 6862589.05163933,653283.302743338 6862677.97749889)","3083","3117",rue de la Marche,
"LINESTRING (652921.041954974 6863182.23088428,652939.833632772 6863231.9010311)","3098","3132",Rue du Pont aux Biches,c
"LINESTRING (652912.861121218 6862547.78865859,653028.83511606 6862698.02409902)","3114","3149",rue du Grand Chantier,
"LINESTRING (652429.935574097 6862594.31373189,652445.513189575 6862640.06623237)","3119","3154",Rue Saint Martin,c
"LINESTRING (652445.513189575 6862640.06623237,652453.298172049 6862662.4867251)","3120","3155",Rue Saint Martin,c
"LINESTRING (652453.298172049 6862662.4867251,652467.267233866 6862697.61753403)","3121","3156",Rue Saint Martin,c
"LINESTRING (652467.267233866 6862697.61753403,652481.596315764 6862739.43033069)","3122","3157",Rue Saint Martin,c
"LINESTRING (652496.655679542 6862687.34308209,652467.267233866 6862697.61753403)","3127","3162",Cul de Sac Clervaux,c
"LINESTRING (652305.937725771 6863344.64861591,652348.724327541 6863361.09945284)","3140","3175",Rue Sainte Foi,c
"LINESTRING (652915.689799874 6862786.36104257,653028.83511606 6862698.02409902)","3143","3178",rue Pastourelle,
"LINESTRING (652915.689799874 6862786.36104257,652889.179011195 6862729.22417052)","3146","3181",rue du Temple,
"LINESTRING (652855.330952135 6862676.85505021,652818.89007374 6862625.27579673)","3149","3184",rue du Temple,
"LINESTRING (653136.581478626 6862606.50926711,653226.739241613 6862723.22042733)","3152","3187",rue de Berry,
"LINESTRING (653028.83511606 6862698.02409902,653090.364670102 6862774.86463422)","3163","3198",rue des Enfants Rouges,
"LINESTRING (652348.724327541 6863361.09945284,652439.3042056 6863397.07204201)","3164","3199",Rue Sainte Foi,c
"LINESTRING (652439.3042056 6863397.07204201,652440.834451359 6863393.94616193,652474.193749388 6863399.89189859)","3176","3211",Rue Sainte Foi,c
"LINESTRING (652584.118810463 6862609.12287202,652597.710011965 6862635.44478221)","3177","3212",Rue Beaubourg,c
"LINESTRING (652597.710011965 6862635.44478221,652627.949221761 6862712.53717374)","3178","3213",Rue Beaubourg,c
"LINESTRING (652453.298172049 6862662.4867251,652584.118810463 6862609.12287202)","3187","3222",Rue de la Cour du More,
"LINESTRING (652546.271329966 6862661.40160001,652597.710011965 6862635.44478221)","3189","3224",Cul de Sac des Anglois,c
"LINESTRING (652305.937725771 6863344.64861591,652316.636387605 6863321.2110779,652322.535017102 6863319.2937082)","3190","3225",Rue des Filles Dieu,c
"LINESTRING (652445.513189575 6862640.06623237,652570.555702138 6862586.143228)","3193","3228",Rue des Petits Champs,c
"LINESTRING (652202.547904778 6862854.70619974,652196.179711692 6862841.08137345,652203.057324311 6862838.48169433,652201.196053025 6862833.05039508)","3195","3230",cloitre Saint Jacques l'Hopital,
"LINESTRING (652474.193749388 6863399.89189859,652468.225287823 6863382.38460614)","3202","3237",Rue Saint Denis,c
"LINESTRING (652186.699494384 6862793.22799104,652201.196053025 6862833.05039508)","3207","3242",Cloître Saint Jacques l'Hôpital,c
"LINESTRING (652449.602664176 6863326.00862383,652580.026381067 6863287.55641324)","3214","3249",Rue de Traçy,c
"LINESTRING (652122.447442453 6863291.71220773,652295.218138382 6863365.5959162)","3216","3251",Rue de Bourbon Ville-Neuve,c
"LINESTRING (652201.196053025 6862833.05039508,652261.282084889 6862810.03162549)","3219","3254",Cloître Saint Jacques l'Hôpital,c
"LINESTRING (652295.218138382 6863365.5959162,652430.292225084 6863424.88479581)","3230","3265",Rue de Bourbon Ville-Neuve,c
"LINESTRING (652323.563183554 6862680.64509255,652331.141519723 6862696.87479255)","3231","3266",Rue Salle-au-Comte,c
"LINESTRING (652331.141519723 6862696.87479255,652366.380692762 6862785.1821285)","3242","3277",Rue Salle-au-Comte,c
"LINESTRING (652324.452758394 6862894.83623491,652402.44375241 6862885.10272974)","3254","3289",Rue du Petit Hurleur,c
"LINESTRING (652295.218138382 6863365.5959162,652305.937725771 6863344.64861591)","3256","3291",Rue des Filles Dieu,c
"LINESTRING (652338.979811193 6862981.50209061,652329.664263009 6862953.25626326,652324.452758394 6862894.83623491)","3267","3302",Rue Saint Denis,c
"LINESTRING (652324.452758394 6862894.83623491,652322.509695218 6862888.32260899)","3281","3316",Rue Saint Denis,c
"LINESTRING (652252.08288712 6862622.73452583,652144.567733208 6862662.49245813)","3292","3327",Rue des Précheurs,c
"LINESTRING (652186.699494384 6862793.22799104,652289.161813012 6862757.1437183)","3318","3353",Rue du Cigne,c
"LINESTRING (652275.965759655 6863408.4060597,652295.218138382 6863365.5959162)","3324","3359",Rue Saint Philippe,c
"LINESTRING (652818.89007374 6862625.27579673,652815.273549923 6862620.1805969)","3328","3363",,
"LINESTRING (652289.161813012 6862757.1437183,652278.116958364 6862709.49165121)","3330","3365",Rue Saint Denis,c
"LINESTRING (652363.945686309 6862841.12444487,652316.87037039 6862856.77138024)","3341","3377",cul de sac de la Porte aux Peintres,
"LINESTRING (652468.225287823 6863382.38460614,652449.602664176 6863326.00862383)","3344","3382",Rue Saint Denis,c
"LINESTRING (652322.509695218 6862888.32260899,652316.87037039 6862856.77138024)","3350","3388",Rue Saint Denis,c
"LINESTRING (652412.668575125 6862935.1286526,652423.900381746 6862932.12924407,652524.669278084 6862953.79651672,652553.604677629 6862940.11757504)","3362","3400",Rue du Gd Hurleur,
"LINESTRING (652402.44375241 6862885.10272974,652412.668575125 6862935.1286526)","3374","3412",Rue Bourg l'Abbé,c
