WKT,fid,gid,streetname,note
"LINESTRING (652812.803789033 6862626.45058797,652734.609487967 6862677.29748903,652628.47241014 6862722.20834746)","1973","1972",,
"LINESTRING (652669.604092418 6862845.77702886,652649.394336008 6862784.64935285)","1992","1991",,
"LINESTRING (652852.083743824 6862686.20262939,652768.931642051 6862733.42565758,652649.394336008 6862784.64935285)","1993","1992",,
"LINESTRING (652698.609901901 6863023.41484454,652693.325138924 6863015.19108,652676.966604514 6863003.93780424,652661.52550574 6863002.44972376)","2002","2001",,
"LINESTRING (652668.783120307 6863270.1669801,652680.352426855 6863303.1880238)","2005","2005",,
"LINESTRING (652807.188097036 6863231.2167541,652668.783120307 6863270.1669801)","2006","2006",,
"LINESTRING (652689.488058123 6862897.7466478,652675.189140644 6862858.12870953,652669.604092418 6862845.77702886)","2007","2007",,
"LINESTRING (652886.230454676 6862736.28861206,652791.371920811 6862789.68156321,652682.206628523 6862838.90980635,652669.604092418 6862845.77702886)","2008","2008",,
"LINESTRING (652680.352426855 6863303.1880238,652695.692378882 6863346.97122066)","2029","2029",,
"LINESTRING (652926.417814904 6863242.14910064,652680.352426855 6863303.1880238)","2030","2030",,
"LINESTRING (652708.864601195 6862950.7093747,652689.488058123 6862897.7466478)","2041","2041",,
"LINESTRING (652863.438281979 6862825.4142182,652821.558242104 6862845.55575818,652807.744854409 6862851.43480003,652701.886916159 6862892.05279609,652689.488058123 6862897.7466478)","2043","2043",,
"LINESTRING (652695.692378882 6863346.97122066,652697.699740297 6863352.73941386)","2054","2054",,
"LINESTRING (652768.321575062 6863327.18317966,652695.692378882 6863346.97122066)","2055","2055",,
"LINESTRING (652697.699740297 6863352.73941386,652706.225803872 6863377.67272212)","2056","2056",,
"LINESTRING (652709.718124387 6863052.64156774,652698.609901901 6863023.41484454)","2060","2060",,
"LINESTRING (652706.225803872 6863377.67272212,652726.807664515 6863437.86156209)","2064","2064",,
"LINESTRING (653248.684244351 6863218.52784443,653234.621758755 6863221.6053765,652706.225803872 6863377.67272212)","2065","2065",,
"LINESTRING (652708.864601195 6862950.7093747,652803.938193711 6862919.76132542,652816.262792715 6862945.36540202,652816.910647754 6862965.54433831,652833.450448987 6863006.57347593)","2070","2070",,
"LINESTRING (652709.718124387 6863052.64156774,652720.971311814 6863048.18528387)","2071","2071",,
"LINESTRING (652730.115511586 6863045.33835372,652719.829398852 6863014.33748445)","2078","2078",,
"LINESTRING (652720.971311814 6863048.18528387,652710.17861478 6863018.70645712,652719.829398852 6863014.33748445)","2079","2079",,
"LINESTRING (652719.829398852 6863014.33748445,652737.225203432 6863008.73030046)","2080","2080",,
"LINESTRING (652720.971311814 6863048.18528387,652730.115511586 6863045.33835372)","2086","2086",,
"LINESTRING (652726.807664515 6863437.86156209,652847.312843119 6863741.51395315)","2091","2091",,
"LINESTRING (652752.559428591 6863430.34411088,652726.807664515 6863437.86156209)","2093","2093",,
"LINESTRING (652730.115511586 6863045.33835372,652746.811775226 6863039.36031127)","2099","2099",,
"LINESTRING (652746.811775226 6863039.36031127,652737.225203432 6863008.73030046)","2111","2111",,
"LINESTRING (652737.225203432 6863008.73030046,652756.155698248 6863001.55244647)","2112","2112",,
"LINESTRING (652746.811775226 6863039.36031127,652767.060629368 6863032.07377226)","2119","2119",,
"LINESTRING (652991.151798526 6863379.39106575,652870.267982261 6863461.94112419,652809.535303384 6863476.34129897,652789.823945242 6863455.34498342,652762.294378332 6863462.11191271,652752.559428591 6863430.34411088)","2122","2122",,
"LINESTRING (652983.687349353 6863364.79876033,652800.686580669 6863408.82111362,652801.586410751 6863416.95757007,652752.559428591 6863430.34411088)","2123","2123",,
"LINESTRING (652767.060629368 6863032.07377226,652756.155698248 6863001.55244647)","2129","2129",,
"LINESTRING (652756.155698248 6863001.55244647,652767.362214287 6862997.55844161,652780.494824826 6863028.18342145)","2130","2130",,
"LINESTRING (652812.803789033 6862626.45058797,652767.761275264 6862566.15491364,652765.159424138 6862560.86464269)","2135","2135",,
"LINESTRING (652767.060629368 6863032.07377226,652780.494824826 6863028.18342145)","2140","2140",,
"LINESTRING (652780.494824826 6863028.18342145,652807.507221455 6863018.22868166)","2152","2152",,
"LINESTRING (652807.188097036 6863231.2167541,652795.140527893 6863196.2954548)","2155","2155",,
"LINESTRING (652795.140527893 6863196.2954548,652752.419397474 6863074.51519097,652817.494309586 6863051.59666482)","2156","2156",,
"LINESTRING (652870.302653272 6863174.76541627,652795.140527893 6863196.2954548)","2158","2158",,
"LINESTRING (652795.580848354 6862988.34992639,652807.507221455 6863018.22868166)","2160","2160",,
"LINESTRING (652922.576386777 6862995.65523554,652855.405591508 6863029.25558485)","2163","2163",,
"LINESTRING (652883.981412152 6863211.07449837,652807.188097036 6863231.2167541)","2171","2171",,
"LINESTRING (652807.507221455 6863018.22868166,652817.494309586 6863051.59666482)","2172","2172",,
"LINESTRING (652807.507221455 6863018.22868166,652833.450448987 6863006.57347593)","2173","2173",,
"LINESTRING (652817.508765811 6862634.80413762,652812.803789033 6862626.45058797)","2183","2183",,
"LINESTRING (652817.494309586 6863051.59666482,652826.01675528 6863048.59516884,652851.573574962 6863118.0316375)","2185","2185",,
"LINESTRING (652852.083743824 6862686.20262939,652840.411159091 6862672.96353466,652833.428157534 6862663.06854376,652817.508765811 6862634.80413762)","2186","2186",,
"LINESTRING (652918.854328229 6862561.23923995,652817.508765811 6862634.80413762)","2187","2187",,
"LINESTRING (652833.450448987 6863006.57347593,652844.183362602 6863034.60743321,652855.405591508 6863029.25558485)","2200","2200",,
"LINESTRING (652851.573574962 6863118.0316375,652870.302653272 6863174.76541627)","2214","2214",,
"LINESTRING (652851.573574962 6863118.0316375,652885.05350841 6863106.46905201)","2215","2215",,
"LINESTRING (652872.559637805 6862709.12786754,652852.083743824 6862686.20262939)","2217","2217",,
"LINESTRING (652855.405591508 6863029.25558485,652879.311045702 6863090.3280781)","2221","2221",,
"LINESTRING (652922.576386777 6862995.65523554,652891.226969608 6862886.41030343,652863.438281979 6862825.4142182)","2227","2227",,
"LINESTRING (652917.857274706 6862797.62192773,652903.136660886 6862806.08314638,652863.438281979 6862825.4142182)","2228","2228",,
"LINESTRING (652870.302653272 6863174.76541627,652883.981412152 6863211.07449837)","2238","2238",,
"LINESTRING (652886.230454676 6862736.28861206,652884.491149356 6862730.85735421,652872.559637805 6862709.12786754)","2239","2239",,
"LINESTRING (652913.895171297 6862677.0757996,652901.48682263 6862690.08425297,652897.431312622 6862693.33404868,652872.559637805 6862709.12786754)","2240","2240",,
"LINESTRING (652879.311045702 6863090.3280781,652885.05350841 6863106.46905201)","2246","2246",,
"LINESTRING (652981.305243363 6863060.46744189,652879.311045702 6863090.3280781)","2248","2248",,
"LINESTRING (652916.8390255 6863202.31974265,652908.692966997 6863203.72342717,652883.981412152 6863211.07449837)","2259","2259",,
"LINESTRING (652885.05350841 6863106.46905201,652916.8390255 6863202.31974265)","2260","2260",,
"LINESTRING (652917.857274706 6862797.62192773,652886.230454676 6862736.28861206)","2261","2261",,
"LINESTRING (652926.417814904 6863242.14910064,652917.724455938 6863211.15378335,652916.8390255 6863202.31974265)","2280","2280",,
"LINESTRING (653037.033761257 6863167.93999677,653026.040309804 6863170.52023313,652916.8390255 6863202.31974265)","2282","2282",,
"LINESTRING (652977.359315227 6862884.3575466,652962.989933386 6862857.66249298,652931.461518733 6862814.121147,652917.857274706 6862797.62192773)","2283","2283",,
