WKT,fid,gid,streetname,note
"LINESTRING (652889.219782424 6862728.30959009,652917.679761019 6862783.06964028)","1057","1057",R DU TEMPLE,
"LINESTRING (652890.598302106 6862892.29597874,652883.388739318 6862867.35687834,652858.920019611 6862811.56324346)","1058","1058",R DES VERTUS,
"LINESTRING (652490.395994299 6862748.66134569,652496.613954511 6862774.60876337)","1059","1059",R SAINT-MARTIN,
"LINESTRING (652833.023038339 6862823.7807846,652803.554767271 6862768.02918448)","1060","1060",PAS DES GRAVILLIERS,
"LINESTRING (652817.317980617 6862620.91545158,652857.776892488 6862675.57460605)","1061","1061",R DU TEMPLE,
"LINESTRING (652397.81556718 6862679.44018759,652456.634165101 6862657.94625022)","1062","1062",PAS MOLIERE,
"LINESTRING (652322.443830398 6862635.07407109,652377.287962264 6862616.61352993)","1063","1063",R RAMBUTEAU,
"LINESTRING (652595.219164468 6862727.78073041,652627.098839279 6862713.51299712)","1066","1066",R DU GRENIER SAINT-LAZARE,
"LINESTRING (652756.651569702 6863017.42051865,652774.683725597 6863021.26891115)","1067","1067",R DE TURBIGO,
"LINESTRING (652774.683725597 6863021.26891115,652809.764931952 6863030.97393107)","1068","1068",R DE TURBIGO,
"LINESTRING (652728.426929653 6862990.6580391,652737.510239762 6863000.5815857,652756.651569702 6863017.42051865)","1070","1070",R BEAUBOURG,
"LINESTRING (652803.554767271 6862768.02918448,652840.417200975 6862751.71953241,652872.271637319 6862734.45198223)","1071","1071",R CHAPON,
"LINESTRING (652432.610881924 6862774.14658026,652490.395994299 6862748.66134569)","1072","1072",R AUX OURS,
"LINESTRING (652826.788480869 6862914.83211219,652813.461754226 6862875.94458696,652798.160416125 6862840.07363427)","1073","1073",PAS ALOMBERT,
"LINESTRING (652343.912518245 6862690.89293405,652359.264109743 6862732.76339672,652362.331068811 6862740.7375242)","1074","1074",BD DE SEBASTOPOL,
"LINESTRING (652264.608335208 6862654.55970707,652315.469623939 6862638.13262396)","1076","1076",R RAMBUTEAU,
"LINESTRING (652172.355697577 6862624.33512837,652182.564846208 6862649.24902046)","1077","1077",R PIERRE LESCOT,
"LINESTRING (652322.443830398 6862635.07407109,652343.912518245 6862690.89293405)","1078","1078",BD DE SEBASTOPOL,
